shade_name,undertone,color_description,finish,availability
2 truths and a lie,cool,"MAC 2 Truths and a Lie is a slightly cool-toned, medium pink with a semi-matte finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",matte,limited
2n,warm,"MAC 2N is a slightly warm-toned, very light beige with a luminous finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
3n,cool,"MAC 3N is a cool-toned, pink with a frost finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
4eva,cool,"MAC 4Eva is a moderately cool-toned, medium-dark purple with a semi-matte finish. It is a permanent lipstick that retails for $19.00 and contains 0.1 oz.",matte,permanent
5 alarm,warm,"MAC 5 Alarm is a very warm-toned, light-medium red with a luminous finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
a girls got needs,warm,"MAC A Girl's Got Needs is a very warm-toned, light brown with a satin finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",satin,limited
a killing smile,neutral,"MAC A Killing Smile is a neutral-toned, dark fuchsia with a satin finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",satin,limited
a la plage,warm,"MAC A La Plage is a moderately warm-toned, medium-dark peach with a pearl finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
a novel romance,cool,"MAC A Novel Romance is a slightly cool-toned, light pink with a luminous finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
a rose in harlem,cool,"MAC A Rose in Harlem is a moderately cool-toned, medium-dark red with a satin finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",satin,limited
a sprinkle of magic,warm,"MAC A Sprinkle of Magic is a very warm-toned, light coral with a pearl finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
a wink of pink,cool,"MAC A Wink of Pink is a slightly cool-toned, medium plum with a metallic finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
ablaze,warm,"MAC Ablaze is a slightly warm-toned, medium-dark coral with a matte finish. It is a permanent lipstick that retails for $19.00 and contains 0.1 oz.",matte,permanent
absolute power,cool,"MAC Absolute Power is a very cool-toned, dark red with a natural finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
abstract,unknown,"MAC Abstract has a  frost finish. It is a discontinued lipstick that retails for $20.00 and contains 0.1 oz.",unknown,unknown
acai,cool,"MAC Acai is a slightly cool-toned, medium berry with a semi-matte finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",matte,limited
achiote,warm,"MAC Achiote is a moderately warm-toned, light coral with a cream finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",cream,limited
act natural,warm,"MAC Act Natural is a moderately warm-toned, light beige with a cream finish. It is a permanent lipstick that retails for $19.00 and contains 0.1 oz.",cream,permanent
act so cool,warm,"MAC Act So Cool is a very warm-toned, dark brown with a pearl finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
agesexlocation,warm,"MAC Age/Sex/Location is a slightly warm-toned, light brown with a satin finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",satin,limited
aim for gorgeous,cool,"MAC Aim for Gorgeous is a moderately cool-toned, medium-dark fuchsia with a satin finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",satin,limited
all fired up,warm,"MAC All Fired Up is a moderately warm-toned, medium-dark fuchsia with a matte finish. It is a permanent lipstick that retails for $19.00 and contains 0.1 oz.",matte,permanent
all i want,warm,"MAC All I Want is a moderately warm-toned, medium-dark gold with a frost finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
almondine,warm,"MAC Almondine is a moderately warm-toned, light-medium coral with a pearl finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
aloof,warm,"MAC Aloof is a moderately warm-toned, medium pink with a natural finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
altered beige,warm,"MAC Altered Beige is a very warm-toned, light-medium beige with a frost finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
among the fireflies,warm,"MAC Among the Fireflies is a slightly warm-toned, medium-dark brown with a natural finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
amor prohibido,warm,"MAC Amor Prohibido is a moderately warm-toned, medium plum with a natural finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
amorous,cool,"MAC Amorous is a slightly cool-toned, medium plum with a satin finish. It is a permanent lipstick that retails for $19.00 and contains 0.1 oz.",satin,permanent
angel,neutral,"MAC Angel is a neutral-toned, medium pink with a pearl finish. It is a permanent lipstick that retails for $19.00 and contains 0.1 oz.",unknown,permanent
angels kiss,warm,"MAC Angel's Kiss is a very warm-toned, very light beige with a satin finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",satin,limited
antique velvet,warm,"MAC Antique Velvet is a moderately warm-toned, dark brown with a matte finish. It is a permanent lipstick that retails for $19.00 and contains 0.1 oz.",matte,permanent
antonios girls,warm,"MAC Antonio's Girls is a slightly warm-toned, medium peach with a satin finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",satin,limited
anything once,cool,"MAC Anything Once is a slightly cool-toned, dark blue with a pearl finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
apres chic,unknown,"Apres Chic is a lightened orange-red with a slightly glossy sheen. It's a very interesting color, because it's muted yet it's still bright. It's not tomato",unknown,unknown
apricot gold,warm,"MAC Apricot Gold is a moderately warm-toned, light-medium brown with a cream finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",cream,limited
archetype,unknown,"MAC Archetype has a  frost finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
arrowhead,warm,"MAC Arrowhead is a very warm-toned, light pink with a satin finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",satin,limited
art directed,warm,"MAC Art Directed is a slightly warm-toned, medium copper with a frost finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
at leisure,warm,"MAC At Leisure is a very warm-toned, light copper with a metallic finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
